Date,High-BTCH,High-EOS,High-ETH,High-IOTA,High-LTC,High-NEO,High-XRP,High-XLM,High-BTC
7-May-18,1781.47,18.40,795.76,2.31,171.92,83.59,0.87,0.41,9665.85
6-May-18,1838.49,17.90,835.06,2.51,182.88,87.94,0.92,0.43,9940.14
5-May-18,1753.11,18.57,827.46,2.47,181.63,86.07,0.92,0.44,9964.50
4-May-18,1538.46,18.06,803.75,2.59,170.38,87.70,0.93,0.44,9779.20
3-May-18,1536.80,19.27,784.34,2.68,164.00,89.68,0.89,0.44,9798.33
2-May-18,1480.58,19.51,688.84,2.31,152.89,85.39,0.86,0.45,9256.52
1-May-18,1351.28,19.08,674.40,1.98,148.55,84.86,0.84,0.45,9255.88
30-Apr-18,1440.96,21.64,694.44,2.05,154.08,94.76,0.88,0.46,9477.14
29-Apr-18,1477.31,22.89,697.76,2.12,155.62,92.52,0.90,0.46,9531.49
28-Apr-18,1418.61,19.51,691.44,2.09,153.33,78.20,0.89,0.44,9412.09
27-Apr-18,1422.06,17.95,684.87,2.09,153.62,77.31,0.86,0.43,9375.47
26-Apr-18,1420.41,15.49,663.18,2.05,153.82,77.24,0.85,0.39,9281.51
25-Apr-18,1437.18,15.54,707.06,2.14,165.09,82.58,0.93,0.40,9745.32
24-Apr-18,1560.94,16.00,708.88,2.21,165.94,84.44,0.97,0.41,9732.61
23-Apr-18,1443.27,11.79,646.70,2.18,152.77,77.80,0.89,0.38,8958.55
22-Apr-18,1250.51,11.83,640.77,2.10,152.23,77.20,0.91,0.38,9001.64
21-Apr-18,1172.28,11.65,621.89,1.99,156.61,79.62,0.93,0.40,8997.57
20-Apr-18,1142.50,11.57,618.72,2.00,155.72,79.47,0.94,0.40,8880.23
19-Apr-18,983.58,9.44,567.89,1.78,146.87,74.79,0.79,0.38,8298.69
18-Apr-18,893.57,9.15,525.09,1.70,140.85,73.36,0.72,0.35,8197.80
17-Apr-18,784.49,8.99,518.03,1.66,139.65,69.85,0.68,0.32,8285.96
16-Apr-18,797.88,8.39,534.20,1.69,132.63,70.77,0.69,0.30,8371.15
15-Apr-18,785.35,8.63,531.70,1.69,132.05,70.33,0.68,0.30,8338.42
14-Apr-18,760.48,8.93,512.02,1.45,129.34,65.45,0.66,0.26,8140.71
13-Apr-18,781.13,9.27,526.47,1.50,133.04,68.10,0.69,0.27,8183.96
12-Apr-18,734.48,9.05,493.06,1.38,129.34,66.71,0.64,0.24,7899.23
11-Apr-18,666.58,8.82,430.54,1.07,119.09,59.46,0.55,0.21,6968.32
10-Apr-18,657.01,6.07,415.89,1.01,115.40,53.20,0.49,0.20,6872.41
9-Apr-18,680.60,6.07,429.25,1.06,122.43,56.66,0.51,0.21,7178.11
8-Apr-18,659.81,6.01,402.59,1.05,118.55,49.19,0.50,0.21,7111.56
7-Apr-18,652.59,6.04,393.06,1.01,119.38,47.81,0.50,0.21,7050.54
6-Apr-18,646.08,6.41,385.20,1.00,119.93,47.48,0.50,0.20,6857.49
5-Apr-18,655.52,6.46,387.72,0.99,121.29,47.85,0.51,0.21,6933.82
4-Apr-18,711.27,6.14,417.47,1.11,134.61,53.63,0.56,0.24,7469.88
3-Apr-18,719.77,6.19,418.97,1.12,136.45,54.13,0.56,0.24,7530.94
2-Apr-18,686.03,5.96,395.17,1.06,121.42,50.30,0.51,0.23,7135.47
1-Apr-18,699.05,6.04,400.53,1.10,117.83,50.59,0.52,0.21,7060.95
31-Mar-18,735.82,6.22,418.47,1.16,123.87,52.91,0.53,0.22,7207.85
30-Mar-18,766.97,6.20,409.93,1.14,124.90,53.58,0.53,0.20,7276.66
29-Mar-18,867.31,6.37,450.81,1.19,132.61,57.40,0.58,0.22,7994.33
28-Mar-18,897.63,6.55,466.21,1.24,140.13,60.12,0.59,0.23,8122.89
27-Mar-18,926.38,6.44,491.46,1.24,149.62,60.02,0.60,0.23,8232.78
26-Mar-18,975.61,6.57,526.38,1.33,160.99,65.94,0.64,0.25,8530.08
25-Mar-18,991.07,6.76,535.82,1.35,162.72,67.44,0.66,0.24,8682.01
24-Mar-18,1030.43,7.12,545.38,1.41,168.65,70.24,0.68,0.25,8996.18
23-Mar-18,1019.43,7.14,540.49,1.34,167.83,69.61,0.66,0.24,8879.62
22-Mar-18,1064.22,7.34,577.57,1.41,172.31,75.07,0.70,0.26,9100.71
21-Mar-18,1082.35,7.24,589.61,1.49,175.26,77.79,0.72,0.27,9177.37
20-Mar-18,1072.42,6.40,567.09,1.52,173.30,79.56,0.74,0.28,9051.02
19-Mar-18,997.28,6.36,558.10,1.34,163.05,73.44,0.75,0.25,8675.87
18-Mar-18,948.28,4.68,551.64,1.29,156.15,66.70,0.68,0.22,8245.51
17-Mar-18,1028.73,5.11,609.15,1.15,165.22,69.11,0.69,0.23,8346.53
16-Mar-18,1053.63,5.32,623.17,1.15,171.26,71.49,0.71,0.24,8585.15
15-Mar-18,954.41,5.38,620.62,1.14,167.33,72.95,0.73,0.25,8428.35
14-Mar-18,1073.12,5.97,702.78,1.37,177.55,85.03,0.80,0.30,9355.85
13-Mar-18,1100.07,5.98,713.74,1.35,181.87,88.39,0.81,0.30,9470.38
12-Mar-18,1152.56,6.23,742.51,1.42,193.34,92.98,0.84,0.31,9937.50
11-Mar-18,1157.07,6.24,735.83,1.43,193.48,92.49,0.84,0.31,9711.89
10-Mar-18,1087.30,6.50,748.03,1.47,194.65,94.43,0.86,0.32,9531.32
9-Mar-18,1071.65,6.24,729.16,1.41,189.92,93.78,0.86,0.32,9466.35
8-Mar-18,1113.61,6.76,773.77,1.55,188.15,102.14,0.89,0.34,10147.40
7-Mar-18,1218.84,7.37,825.61,1.71,199.28,113.65,0.93,0.35,10929.50
6-Mar-18,1264.19,8.00,853.82,1.89,210.51,114.94,0.99,0.37,11500.10
5-Mar-18,1291.88,8.29,869.92,1.90,215.98,120.12,1.08,0.40,11704.10
